Parsing Opcorpora --->
Parsing is finished
The results of processing:
 Слов рассмотренно : 981315
 Нераспознано слов : 19.856722866765512 %
 Точность определения леммы слова : 75.02315974492902 %
 Статистика по леммам :
---
рассказать 91 INFN
потолок 91 VERB
направил 91 VERB
тисовый 91 ADJF
чей 91 ADJF
спрашиваю 90 VERB
деревянный 90 ADJF
посмотреть 90 INFN
около 90 ADVB
новость 90 NOUN
удивление 89 NOUN
посреди 89 ADVB
сильный 89 ADJF
правило 89 NOUN
ухожу 89 VERB
куча 89 NOUN
появление 89 NOUN
внизу 89 PREP
дать 89 INFN
блестящий 89 ADJF
ледяной 89 ADJF
одновременен 89 ADJS
туалет 88 NOUN
библиотека 88 NOUN
противник 88 NOUN
сило 87 NOUN
задний 87 ADJF
одежда 87 NOUN
середина 87 NOUN
откликнулся 87 VERB
дыхание 87 NOUN
кстати 87 ADVB
ящик 87 NOUN
счастливый 87 ADJF
вчера 86 ADVB
правый 86 ADJF
полок 86 NOUN
главный 86 ADJF
кончик 86 NOUN
чашка 86 NOUN
паук 86 NOUN
глянул 86 VERB
чистый 86 ADJF
превратился 86 VERB
кожа 86 NOUN
учусь 86 VERB
сзади 85 ADVB
форма 85 NOUN
мнение 85 NOUN
отношение 85 NOUN
связь 85 NOUN
широкий 85 ADJF
взмахнул 85 VERB
вот-вот 85 ADVB
трава 85 NOUN
обед 85 NOUN
настолько 85 ADVB
красивый 85 ADJF
ощутил 85 VERB
тихий 85 ADJF
душа 84 NOUN
важно 84 ADVB
очевиден 84 ADJS
выход 84 NOUN
показываю 84 VERB
прохожу 84 VERB
близок 84 ADJS
сто 84 NUMR
великий 84 ADJF
белый 84 ADJF
кошка 83 NOUN
первокурсник 83 NOUN
третий 83 ADJF
мягко 83 ADVB
деньги 83 NOUN
трибуна 83 NOUN
заорал 83 VERB
щека 83 NOUN
верхний 83 ADJF
отпустил 83 VERB
наверх 82 ADVB
вынул 82 VERB
собрался 82 VERB
пригласил 82 VERB
понятен 82 ADJS
напротив 82 PREP
штука 82 NOUN
наблюдаю 82 VERB
держа 82 GRND
повод 82 NOUN
однажды 82 ADVB
понадобился 82 VERB
когда-то 82 ADVB
шесть 82 NUMR
множество 82 NOUN
значок 81 NOUN
чей-то 81 ADJF
ник 81 NOUN
приказал 81 VERB
сидеть 81 INFN
нечего 81 NPRO
мокрый 81 ADJF
белые 81 NOUN
любимый 81 ADJF
ведущий 81 PRTF
вспышка 81 NOUN
действие 81 NOUN
перебил 81 VERB
вещь 81 NOUN
двенадцать 80 NUMR
тролль 80 NOUN
махнул 80 VERB
купил 80 VERB
поднимаюсь 80 VERB
премьер-министр 80 NOUN
еду 80 VERB
плохой 80 ADJF
чарли 80 NOUN
постоянно 80 ADVB
площадь 80 NOUN
наклонился 80 VERB
гнев 80 NOUN
возле 79 ADVB
подумать 79 INFN
чемпион 79 NOUN
девушка 79 NOUN
полностью 79 ADVB
усилие 79 NOUN
крыса 79 NOUN
ой 79 INTJ
бок 79 NOUN
столик 79 NOUN
третье 79 NOUN
тренировка 79 NOUN
мужчина 78 NOUN
картина 78 NOUN
существую 78 VERB
знак 78 NOUN
сомнение 78 NOUN
короста 78 NOUN
серый 78 ADJF
снег 78 NOUN
куда-то 78 ADVB
группа 78 NOUN
подошёл 77 VERB
список 77 NOUN
добрался 77 VERB
ступень 77 NOUN
неприятный 77 ADJF
также 76 PRCL
столь 76 ADVB
держусь 76 VERB
жуткий 76 ADJF
прихожу 76 VERB
громадный 76 ADJF
прежний 76 ADJF
левый 76 ADJF
отчаян 75 ADJS
шкаф 75 NOUN
несмотря 75 PREP
по-видимому 75 CONJ
прекрасный 75 ADJF
остаться 75 INFN
называю 75 VERB
держать 75 INFN
прочитал 75 VERB
слежу 74 VERB
абсолютно 74 ADVB
идея 74 NOUN
простой 74 ADJF
смею 74 VERB
выпустил 74 VERB
распахнулся 74 VERB
почему-то 74 ADVB
улыбаясь 74 GRND
отчаяние 74 NOUN
жить 74 INFN
честен 74 ADJS
провожу 74 VERB
бываю 74 VERB
ребёнок 74 NOUN
вестибюль 74 NOUN
омут 74 NOUN
испуганный 74 PRTF
подняв 74 GRND
обо 74 NOUN
дрожу 74 VERB
нервно 74 ADVB
пятьдесят 74 NUMR
нож 73 NOUN
скрылся 73 VERB
готов 73 ADJS
шагнул 73 VERB
огляделся 73 VERB
ужасен 73 ADJS
получить 73 INFN
защитный 73 ADJF
оборотень 73 NOUN
предстою 73 VERB
направился 72 VERB
